Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,8.306290,8.502870,8.057100,8.057100,4.924587,6726830
2000-01-04,8.303520,8.386580,8.176160,8.320130,5.085354,4925665
2000-01-05,8.167850,8.633000,7.990650,8.610850,5.263045,11267847
2000-01-06,8.776980,8.846200,8.569320,8.693920,5.313818,4755192
2000-01-07,8.749290,8.915420,8.624700,8.832350,5.398428,8835353
2000-01-10,8.804670,8.887730,8.555480,8.569320,5.237661,7036355
2000-01-11,8.624700,8.652380,8.333980,8.444730,5.161510,4297226
2000-01-12,8.292450,8.430880,8.237070,8.430880,5.153045,3836009
2000-01-13,8.292450,8.541630,8.278600,8.541630,5.220737,3841788
2000-01-14,8.444730,8.541630,8.278600,8.417040,5.144586,5516182
2000-01-17,8.361660,8.472420,8.195540,8.209380,5.017663,6371798
2000-01-18,8.250910,8.320130,8.101400,8.126320,4.966895,5749860
2000-01-19,8.140160,8.140160,8.034950,8.084790,4.941511,3577410
2000-01-20,8.087560,8.148470,7.974040,8.054330,4.922894,5883494
2000-01-21,7.990650,8.106940,7.932510,7.932510,4.848436,5141285
2000-01-24,8.043260,8.112480,7.904820,7.968500,4.870434,3871043
2000-01-25,7.968500,7.974040,7.752540,7.871590,4.811202,5436724
2000-01-26,7.835600,7.904820,7.641790,7.697160,4.704587,6263085
2000-01-27,7.974040,8.154010,7.926970,8.034950,4.911049,10265234
2000-01-28,8.250910,8.256450,7.960190,8.026640,4.905969,6077082
2000-01-31,7.954660,8.126320,7.949120,8.043260,4.916127,3094523
2000-02-01,8.873890,8.873890,8.010030,8.832350,5.398428,10761123
2000-02-02,8.832350,9.579920,8.389350,9.095390,5.559202,44488819
2000-02-03,9.136920,9.496860,8.832350,8.860040,5.415353,15838841
2000-02-04,8.860040,8.860040,8.444730,8.472420,5.178435,10052503
2000-02-07,8.569320,8.832350,8.361660,8.472420,5.178435,7646736
2000-02-08,8.583170,8.970790,8.458570,8.707760,5.322278,8788040
2000-02-09,8.763140,8.901570,8.555480,8.707760,5.322278,6571526
2000-02-10,8.693920,8.790820,8.597010,8.597010,5.254586,3476281
2000-02-11,8.610850,8.749290,8.333980,8.444730,5.161510,5755639
2000-02-14,8.333980,8.887730,8.264760,8.790820,5.373044,10219726
2000-02-15,8.887730,8.998480,8.375510,8.583170,5.246127,10085731
2000-02-16,8.763140,9.012320,8.721600,8.956950,5.474586,9173410
